wish-present -> future,wish/past,imperative,present tense,future tense/3. singular,past tense/3 singular,infinitive(passive/causative)
dêynê,danîba,dêyne,dêynê,dêynê,danî,danîn
daxê,daxistiba,daxe,dadixe,daxê,da'xist,daxistin
derênê,derandiba,derêne,derênê,derênê,derand,derandin
derkevê,derketiba,derkeve,derdikeve,derkevê,der'ket,derketin
derxê,derxistiba,derxe,derdixe,derxê,der'xist,derxistin
destbixê,destxistiba,destxe,destdixe,destbixê,dest'xist,destxistin
dexisê,dexisîba,dexise,didexise,dexisê,dexisî,dexisîn
dirê,dirîba,bidire,didire,dirê,dirî,dirîn
bibînê,dîtiba,bibîne,dibîne,bibînê,dît,dîtin
bidizê,dizîba,bidize,didize,bidizê,dizî,dizîn
bidomênê,domandiba,bidomêne,didomênê,bidomênê,domand,domandin
biedilênê,edilandiba,biedilêne,diedilênê,biedilênê,ediland,edilandin
biewtê,ewtîba,biewte,diewte,biewtê,ewtî,ewtîn
pêxê,êxistiba,pêxe,pêdixe,pêxê,êxist,êxistin
bifikirê,fikirîba,bifikire,difikire,bifikirê,fikirî,fikirîn
bifirê,firîba,bifire,difikire,bifirê,firî,firîn
bifroşê,firotiba,bifroşe,difroşe,bifroşê,firot,firotin
bifurê,fûrîba,bifure,difure,bifurê,fûrî,fûrîn
bigevizênê,gevizandiba,bigevizêne,digevizênê,bigevizênê,gevizand,gevizandin
bigevizê,gevizîba,bigevize,digevize,bigevizê,gevizî,gevizîn
bigihê,gihaba,bigihe,digihe,bigihê,giha,gihan
bigihişê,gihistiba,bigihişe,digihişe,bigihişê,gihist,gihistin
bigijgijê,gijgijîba,bigijgije,digijgije,bigijgijê,gijgijî,gijgijîn
gire bidê,girêdaba,bide,dide,gire bidê,girê'da,girêdan
girgirê,girgirtiba,bigirgire,digirgire,girgirê,girgirt,girgirtin
bigirê,girîba,bigire,digire,bigirê,girî,girîn
bigirê,girtiba,bigire,digire,bigirê,girt,girtin
bigivê,givîba,bigive,digive,bigivê,givî,givîn
biguherê,guherîba,biguhere,diguhere,biguherê,guherî,guherîn
biguherênê,guherandiba,biguherêne,diguherênê,biguherênê,guherand,guherandin
biguherê,guhertiba,biguhere,diguherê,biguherê,guhert,guhertin
bigujê,gujîba,biguje,diguje,bigujê,gujî,gujîn
bihebênê,hebandiba,bihebêne,dihebênê,bihebênê,heband,hebandin
hebê,hebûba,hebe,dihebê,hebê,hebû,hebûn
bihejênê,hejandiba,bihejêne,dihejênê,bihejênê,hejand,hejandin
bihejê,hejîba,bihejêne,diheje,bihejê,hejî,hejîn
bihejê,hejîyaba,bihejêne,diheje,bihejê,hejîya,hejîn
bihelê,helîba,bihele,dihelênê,bihelê,helî,helîn
bihelênê,hêlandiba,bihelêne,dihelênê,bihelênê,hêland,hêlandin
bihêlê,hêlîba,bihêle,dihele,bihêlê,hêlî,hêlîn
bihêlê,hêlîyaba,bihêle,dihele,bihêlê,hêlîya,hêlîn
biherikê,herikîba,biherike,diherike,biherikê,herikî,herikîn
biherimênê,herimandiba,biherimêne,diherimênê,biherimênê,herimand,herimandin
biherimê,herimîba,biherime,diherime,biherimê,herimî,herimîn
bihesê,hesîbiya,bihese,dihese,bihesê,hesî,hesîn
bihesibênê,hesibandiba,bihesibêne,dihesibênê,bihesibênê,hesiband,hesibandin
bihesê,hesiyaba,bihese,dihese,bihesê,hesiya,hesîn
bihewênê,hewandiba,bihewêne,dihewênê,bihewênê,hewand,hewandin
hewilbidê,hewildaba,bide,hewildide,hewilbidê,hewil'da,hewildan
hebê,heyeba,bihebe,heye,hebê,heye,heyîn
heyê,heyîba,bihey,,heyê,heyî,heyîn
hilbijêrê,hilbijartiba,hilbijêre,hildibijêrê,hilbijêrê,hil'bijart,hilbijartin
hildê,hildaba,hilbide,hildide,hildê,hil'da,hildan
hildirênê,hildirandiba,hildire,hildirênê,hildirênê,hildirand,hildirandin
hilgirê,hilgirtiba,hilgire,hildigire,hilgirê,hil'girt,hilgirtin
hilkeşê,hilkêşaba,hilkeşe,hildikeşe,hilkeşê,hil'kêşî,hilkêşîn
hilbikevê,hilketiba,hilbikeve,hildikeve,hilbikevê,hil'ket,hilketin
hilkişênê,hilkişandiba,hilkişêne,hildikişênê,hilkişênê,hil'kişand,hilkişandin
hilkişê,hilkişîyaba,hilkişe,hildikişe,hilkişê,hil'kişî,hilkişîn
hilkutê,hilkutaba,hilkute,hildikute,hilkutê,hil'kutî,hilkutan
hilweşê,hilweşaba,hilweşe,hildiweşe,hilweşê,hil'weşî,hilweşan
hirşê,hirşiyaba,bihirşe,dihirşe,hirşê,hirşî,hirşîn
jêbikê,jêkiriba,jêbike,jêdike,jêbikê,jê'kir,jêkirin
bijî,jiyîba,biji,dijî,bijî,jî,jiyîn
bikenê,kenîba,bikene,dikene,bikenê,kenî,kenîn
bikeşênê,kêşandiba,bikeşêne,dikeşênê,bikeşênê,kêşand,kêşandin
bikeşê,kêşîyaba,bikeşe,dikeşe,bikeşê,kêşî,kêşîn
bikevê,ketiba,bikeve,dikeve,bikevê,ket,ketin
bikewtê,kewtiba,bikewte,dikewte,bikewtê,kewt,kewtin
bikê,kiriba,bike,dike,bikê,kir,kirin
bikirê,kirîba,bikire,dikire,bikirê,kirî,kirîn
kişkişênê,kişkişandiba,bikişkişêne,dikişkişênê,kişkişênê,kişkişand,kişkişandin
kişkişê,kişkişîba,bikişkişe,dikişkişe,kişkişê,kişkişî,kişkişîn
bikolê,kolîyaba,bikole,dikole,bikolê,kolîya,kolîn
bikusênê,kusandiba,bikusêne,dikusênê,bikusênê,kusand,kusandin
bikutê,kutiba,bikutî,dikutî,bikutî,kutî,kutan
bikuxê,kuxîba,bikuxe,dikuxe,bikuxê,kuxî,kuxîn
bikuxê,kuxîyaba,bikuxe,dikuxe,bikuxê,kuxîya,kuxîn
bilebitê,lebitîba,bilebite,dilebite,bilebitê,lebitî,lebitîn
lêbigerênê,lêgerandiba,lêbigerêne,lêdigerênê,lêbigerênê,lê'gerand,lêgerandin
lêbigerê,lêgerîba,lêbigere,lêdigere,lêbigerê,lê'gerî,lêgerîn
bilerizê,lerizîba,bilerize,dilerize,bilerizê,lerizî,lerizîn
lêxê,lêxistiba,lêxe,lêdixe,lêxê,lê'xist,lêxistin
bilêyîzê,lêyîstiba,bilêyîze,dilêyîze,bilêyîzê,lêyîst,leyîstin
,likumîba,,,,likumî,likumîn
bilîlê,lîlandiba,bilîle,dilîlê,bilîlê,lîland,lîlandin
bilivê,livîba,bilive,dilive,bilivê,livî,livîn
bilivê,livîyaba,bilive,dilive,bilivê,livîya,livîn
bilurênê,lûrandiba,bilurêne,dibilurênê,bilurênê,lûrand,lûrandin
bilurê,lûrîba,bilure,dibilurê,bilurê,lûrî,lûrîn
bilusê,lûsîba,biluse,dibiluse,bilusê,lûsî,lûsîn
bimênê,maba,bimêne,dimênê,bimênê,ma,maîn
bimejê,mêjîba,bimeje,dimeje,bimejê,mêjî,mêjîn
bimeşê,meşîba,bimeşe,dimeşe,bimeşê,meşî,meşîn
bimeyê,meyîba,bimeye,dimeye,bimeyê,meyî,meyîn
bimirê,miriba,bimire,dimire,bimirê,mir,mirîn
binalê,nalîba,binale,dinale,binalê,nalî,nalîn
binalê,nalîyaba,binale,dinale,binalê,nalîya,nalîn
binasênê,nasandiba,binasêne,dinasênê,binasênê,nasand,nasandin
nas bikê,naskiriba,bike,dike,nas bikê,nas'kir,naskirin
bidim navandê,navandiba,binavêne,dinavênê,bidim navandê,navand,navandin
binepixê,nepixîba,binepixe,dinepixe,binepixê,nepixî,nepixîn
binaqênê,neqandiba,binaqêne,dinaqênê,binaqênê,neqand,neqandin
binêrê,nêrîba,binêre,dinere,binêrê,nêrî,nêrîn
biniqutê,niqutîba,biniqute,diniqute,biniqutê,niqutî,niqutîn
,nitilandiba,,,,nitiland,nitilandin
binivisênê,nivîsandiba,binisêne,dinivisênê,binivisênê,nivîsand,nivîsandin
binivisê,nivisîba,binivise,dinivise,binivisê,nivisî,nivisîn
binuxumênê,nuxumandiba,binuxumêne,dinuxumênê,binuxumênê,nuxumand,nuxumandin
binuxumê,nuxumîba,binuxume,dinuxume,binuxumê,nuxumî,nuxumîn
bipejîrênê,pejirandiba,bipejirêne,dipejîrênê,bipejîrênê,pejirand,pejirandin
pêkbênê,pêkanîba,bêne,tênê,pêkbênê,pêk'anî,pêkanîn
pêkevê,pêketiba,bikeve,dikeve,pêkevê,pê'ket,pêketin
pekwerê,pêkhatiba,bibe,pektê,pekwerê,pêk'hat,pêkhatin
bipengizê,pengizîba,bipengize,dipengize,bipengizê,pengizî,pengizîn
biperpitê,perpitîba,biperpite,diperpite,biperpitê,perpitî,perpitîn
bipesinênê,pesinandiba,bipesinêne,dipesinênê,bipesinênê,pesinand,pesinandin
pêxê,pêxistiba,bixe,pêdixe,pêxê,pê'xist,pêxistin
peyîtênê,peyîtandiba,bipeyitêne,dipeyîtênê,peyîtênê,peyîtand,peyîtandin
bipeyivê,peyivîba,bipeyive,dipeyive,bipeyivê,peyivî,peyivîn
bipijênê,pijandiba,bipijêne,dipijênê,bipijênê,pijand,pijandin
bipijê,pijîba,bipijêne,dipije,bipijê,pijî,pijîn
bipijiqênê,pijiqandiba,bipijiqêne,dipijiqênê,bipijiqênê,pijiqand,pijiqandin
bipijiqê,pijiqîba,bipijiqe,dipijiqe,bipijiqê,pijiqî,pijiqîn
bipirsênê,pirsandiba,,dipirse,bipirsênê,pirsand,pirsandin
bipirsê,pirsîba,bipirse,dipirse,bipirsê,pirsî,pirsîn
,pişaftiba,,,,pişaft,pişaftin
biponijê,ponijîba,biponije,diponije,biponijê,ponijî,ponijîn
biqarê,qarîba,biqare,diqare,biqarê,qarî,qarîn
biqedênê,qedandiba,biqedêne,diqedênê,biqedênê,qedand,qedandin
biqedê,qedîba,biqede,diqede,biqedê,qedî,qedîn
biqefilênê,qefilandiba,biqefilêne,diqefilênê,biqefilênê,qefiland,qefilandin
biqefilê,qefilîba,biqefile,diqefile,biqefilê,qefilî,qefilîn
biqehirê,qehirîba,biqehere,diqehere,biqehirê,qehirî,qehirîn
biqelişê,qelişîba,biqelişe,diqelişe,biqelişê,qelişî,qelişîn
biqelizênê,qelizandiba,biqelizêne,diqelizênê,biqelizênê,qelizand,qelizandin
biqerê,qêrîba,biqere,diqere,biqerê,qêrî,qêrîn
biqerisê,qerisîba,biqerise,diqerise,biqerisê,qerisî,qerisîn
biqetênê,qetandiba,biqetêne,diqetênê,biqetênê,qetand,qetandin
biqetê,qetîba,biqete,diqete,biqetê,qetî,qetîn
biqewimê,qewimîba,biqewime,diqewime,biqewimê,qewimî,qewimîn
biqewirênê,qewirandiba,biqewirêne,diqewirênê,biqewirênê,qewirand,qewirandin
biqewirê,qewirîba,biqewire,diqewire,biqewirê,qewirî,qewirîn
biqirçê,qirçîba,biqirçe,diqirçe,biqirçê,qirçî,qirçîn
biqîrê,qîrîba,biqîre,diqîrê,biqîrê,qîrî,qîrîn
biqufulê,qufulîba,biqufule,diqufile,biqufulê,qufulî,qufulîn
biqulibê,qulibîba,biqulibe,diqulibe,biqulibê,qulibî,qulibîn
rabê,rabûba,rabe,radibe,rabê,ra'bû,rabûn
rabigirê,ragirtiba,rabigire,radigire,rabigirê,ra'girt,ragirtin
rahişê/rajê,rahiştiba,raje,radije,rahişê/rajê,ra'hişt,rahiştin
rakevê,raketiba,rakeve,radikeve,rakevê,ra'ket,raketin
rakê,rakiriba,rake,radike,rakê,ra'kir,rakirin
ramedênê,ramedandiba,ramedene,diramedenim,ramedênê,ramedand,ramedandin
rapelikê,rapelikîba,rapelike,dirapelikim,rapelikê,rapelikî,rapelikîn
rapivê,rapîvaba,rapive,radipive,rapivê,rapîvî,rapîvan
rawestê,rawestaba,raweste,radiweste,rawestê,ra'westî,rawestan
rabixê,raxistiba,rabixe,radixe,rabixê,ra'xist,raxistin
razê,razaba,raze,radize,razê,ra'za,razan
rêbixê,rêkxistiba,rêbixe,rêdixe,rêbixê,rêk'xist,rêkxistin
bireqisê,reqisîba,bireqise,direqise,bireqisê,reqisî,reqisîn
biretê,rêtiba,birete,diretê,biretê,rêt,rêtin
birevênê,revandiba,birevêne,direvênê,birevênê,revand,revandin
birevê,revîba,bireve,direve,birevê,revî,revîn
bireyanê,reyaniba,,direyanê,bireyanê,reyan,reyanîn
rezbikê,rêzkiriba,bike,rezdike,rezbikê,rêz'kir,rêzkirin
biricifê,ricifîba,biricife,biricife,biricifê,ricifî,ricifîn
birijê,rijîba,birje,dirije,birijê,rijî,rijîn
birijê,rijîyaba,birje,dirije,birijê,rijîya,rijîn
rikrikê,rikrikîba,birikrike,dirikrike,rikrikê,rikrikî,rikrikîn
birizanê,rizaniba,birizane,dirizane,birizanê,rizan,rizanîn
birizênê,rizandiba,birizêne,dirizênê,birizênê,rizand,rizandin
runê,rûnistiba,rune,rudinê,runê,rû'nist,rûnistin
ruxênê,rûxandiba,biruxêne,rudixênê,ruxênê,rûxand,rûxandin
biruxê,rûxîba,biruxe,rudixe,biruxê,rûxî,rûxîn
bişiyênê,şandiba,bişiyêne,dişiyênê,bişiyênê,şand,şandin
sebrbikê,sebrkiriba,bike,sebrdike,sebrbikê,sebr'kir,sebrkirin
bisekinênê,sekinandiba,bisekinêne,disekinênê,bisekinênê,sekinand,sekinandin
bisekinê,sekinîba,bisekine,disekine,bisekinê,sekinî,sekinîn
bişemitê,şemitîba,bişemite,dişemite,bişemitê,şemitî,şemitîn
bişepê,şepîba,bişepe,dişepe,bişepê,şepî,şepîn
bişewitê,şewitîba,bişewite,dişewite,bişewitê,şewitî,şewitîn
bisijê,sijîba,,disije,bisijê,sijî,sijîn
bisimsimê,simsimîba,,,bisimsimê,simsimî,simsimîn
bişiqitê,şiqitîba,,,bişiqitê,şiqitî,şiqitîn
bişixulê,şixulîba,bişixule,dişixule,bişixulê,şixulî,şixulîn
bişulikê,şûlikîba,bişulike,dişulike,bişulikê,şûlikî,şûlikîn
bişo,şûştiba,bişo,dişo,bişo,şûşt,şûştin
bişixulênê,şuxulandiba,bişuxulêne,dişixulênê,bişixulênê,şuxuland,şuxulandin
bişixulê,şuxulîba,bişixule,dişixule,bişixulê,şuxulî,şuxulîn
bitefênê,tefandiba,bitefêne,ditefênê,bitefênê,tefand,tefandin
bitefê,tefîba,bitefe,ditefe,bitefê,tefî,tefîn
têbigihişê,têgihîştiba,bigihişe,têdigihişe,têbigihişê,têgihişt,têgihîştin
têkevê,têketiba,têkeve,têdikeve,têkevê,tê'ket,têketin
têbikê,têkiriba,,têdike,têbikê,tê'kir,têkirin
temaşebikê,temaşekiriba,temaşebike,temaşedike,temaşebikê,temaşe'kir,temaşekirin
temirê,temirîba,bitemire,ditemire,temirê,temirî,temirîn
bitepênê,tepandiba,,ditepênê,bitepênê,tepand,tepandin
biteqê,teqîba,biteqe,diteqe,biteqê,teqî,teqîn
biterpilê,terpilîba,biterpile,diterpile,biterpilê,terpilî,terpilîn
têbixê,têxistiba,têbixe,têdixe,têbixê,tê'xist,têxistin
tirsênê,tirsandiba,bitirsêne,ditirsênê,tirsênê,tirsand,tirsandin
vebê,vebûba,vebe,vedibe,vebê,ve'bû,vebûn
veciniqê,veciniqîba,veciniqe,vediciniqe,veciniqê,ve'ciniqî,veciniqîn
vedê,vedaba,vede,vedide,vedê,ve'da,vedan
vegerê,vegeriyaba,vegere,vedigere,vegerê,ve'gerî,vegerîn
vegevizê,vegevizîba,vegevize,vedigevize,vegevizê,ve'gevizî,vegevizîn
veherênê,vehêrandiba,veherêne,vediherênê,veherênê,ve'hêrand,vehêrandin
vejênê,vejenîba,vejêne,vedijênê,vejênê,ve'jenî,vejenîn
vekê,vekiriba,veke,vedike,vekê,ve'kir,vekirin
vekişê,vekişîba,vekişe,vedikişe,vekişê,ve'kişî,vekişîn
ve?,vemaba,,,ve?,vema,vemaîn
vemêlê,vemaltiba,,,vemêlê,vemalt,vemaltin
vemirênê,vemirandiba,vemirêne,vedimirênê,vemirênê,ve'mirand,vemirandin
vemirê,vemirîba,vemire,vedimire,vemirê,ve'mirî,vemirîn
,vepoşaba,,,,ve'poşî,vepoşîn
veqetênê,veqetandiba,veqetêne,vediqetênê,veqetênê,ve'qetand,veqetandin
veqetê,veqetîba,veqete,vediqete,veqetê,ve'qetî,veqetîn
vetexirê,vetexirîba,vetexire,veditexire,vetexirê,ve'texirî,vetexirîn
vexê,vêxistiba,vexe,vedixe,vexê,vê'xist,vêxistin
vexê,vexistîba,vexe,vedixe,vexê,ve'xist,vexistîn
vexwê,vexwariba,vexwe,vedixwe,vexwê,ve'xwar,vexwarin
,vezelaniba,,,,ve'zelan,vezelanîn
,vizîba,,,,vizî,vizîn
wergerênê,wergerandiba,wergerêne,werdigerênê,wergerênê,wer'gerand,wergerandin
wergirê,wergirtiba,wergire,werdigire,wergirê,wer'girt,wergirtin
,wergirtiba,,,,wer'girt,wergirtin
biwêrê,wêrîba,biwêre,diwêrê,biwêrê,wêrî,wêrîn
biwerimênê,werimandiba,biwerimêne,diwerimênê,biwerimênê,werimand,werimandin
biwerimê,werimîba,biwerime,diwerime,biwerimê,werimî,werimîn
bixapê,xapîba,bixape,dixape,bixapê,xapî,xapîn
bixebitê,xebitîba,bixebite,dixebite,bixebitê,xebitî,xebitîn
bixemilênê,xemilandiba,bixemilêne,dixemilênê,bixemilênê,xemiland,xemilandin
bixemilê,xemilîba,bixemile,dixemile,bixemilê,xemilî,xemilîn
bixijikê,xijikiba,bixijike,,bixijikê,xijiki,xijikin
bixê,xistiba,bixe,dixe,bixê,xist,xistin
xitimênê,xitimandiba,bixitimêne,dixitênê,xitimênê,xitimand,xitimandin
bixitimê,xitimîba,bixitime,dixitime,bixitimê,xitimî,xitimîn
bixitimê,xitimiyaba,bixitime,dixitime,bixitimê,xitimiya,xitimîn
,xuşîba,,,,xuşî,xuşîn
bixuyê,xuyaba,bixuye,dixuye,bixuyê,xuya,xuyaîn
bixwê,xwariba,bixwe,dixwe,bixwê,xwar,xwarin
xwebidê,xwêdaba,bide,xwe dide,xwebidê,xwê'da,xwêdaîn
bixwênê,xwendiba,bixwêne,dixwênê,bixwênê,xwend,xwendin
bixwazê,xwestiba,bixwaze,dixwaze,bixwazê,xwest,xwestin
bizanê,zanîba,bizane,dizane,bizanê,zanî,zanîn
,zarîba,,,,zarî,zarîn
bizeliqênê,zeliqandiba,bizeliqêne,dizeliqênê,bizeliqênê,zeliqand,zeliqandin
bizeliqê,zeliqîba,bizeliqe,dizeliqe,bizeliqê,zeliqî,zeliqîn
bizivirê,zivirîba,bizivire,dizivire,bizivirê,zivirî,zivirîn
bizurê,zûrîba,bizure,dizure,bizurê,zûrî,zûrîn
